NAME,B19013_001E,B19083_001E,B19113_001E,state,county,Poverty_Rate
"Terry County, Texas",44627.0,0.4333,49328.0,48,445,17.624521072796934
"Wise County, Texas",64536.0,0.4215,75083.0,48,497,10.534017197163976
"Matagorda County, Texas",48913.0,0.4668,60061.0,48,321,18.719747647794637
"Pecos County, Texas",52397.0,0.4491,61183.0,48,371,12.905469490989566
"Rockwall County, Texas",100920.0,0.3996,112753.0,48,397,4.7121173141240025
"Taylor County, Texas",53143.0,0.4533,65192.0,48,441,14.439979542631695
"Throckmorton County, Texas",40000.0,0.5012,59853.0,48,447,16.782729805013926
"Walker County, Texas",43742.0,0.4711,64925.0,48,471,17.042076298723746
"Wood County, Texas",53394.0,0.473,64187.0,48,499,14.103142045710678
"Aransas County, Texas",45137.0,0.5348,58299.0,48,007,20.959038508707383
"Cochran County, Texas",40962.0,0.4679,58295.0,48,079,25.28576376861794
"Coke County, Texas",45000.0,0.3885,64850.0,48,081,12.04965183166818
"Coryell County, Texas",52893.0,0.4227,59635.0,48,099,10.399840595111584
"Hemphill County, Texas",70625.0,0.4392,84250.0,48,211,8.162243365047571
"Moore County, Texas",54871.0,0.3756,59118.0,48,341,12.673489415393243
"Potter County, Texas",42528.0,0.4772,52700.0,48,375,19.20133028059562
"San Augustine County, Texas",40353.0,0.5069,47250.0,48,405,24.07675597393193
"Shackelford County, Texas",46935.0,0.4317,55500.0,48,417,13.228155339805825
"Starr County, Texas",30387.0,0.5096,33231.0,48,427,34.35656543587503
"Upton County, Texas",52171.0,0.4365,71679.0,48,461,13.801585132549876
"Brown County, Texas",48365.0,0.4767,61889.0,48,049,12.006339981508388
"Hall County, Texas",34673.0,0.4961,43750.0,48,191,22.473753280839894
"Franklin County, Texas",53783.0,0.4516,64945.0,48,159,9.219858156028367
"Frio County, Texas",46729.0,0.5087,54111.0,48,163,18.207437974938355
"Lampasas County, Texas",60772.0,0.4147,73071.0,48,281,10.92896174863388
