CAMPUS,CD000AA11219R,CD000ABI1219R,CD000AR11219R,CD000AUS1219R,CD200AA11219R,CD200ABI1219R,CD200AR11219R,CD200AUS1219R,CD300AA11219R,CD300ABI1219R,CD300AR11219R,CD300AUS1219R,CD400AA11219R,CD400ABI1219R,CD400AR11219R,CD400AUS1219R,CDA00AA11219R,CDA00ABI1219R,CDA00AR11219R,CDA00AUS1219R,CDB00AA11219R,CDB00ABI1219R,CDB00AR11219R,CDB00AUS1219R,CDE00AA11219R,CDE00ABI1219R,CDE00AR11219R,CDE00AUS1219R,CDF00AA11219R,CDF00ABI1219R,CDF00AR11219R,CDF00AUS1219R,CDH00AA11219R,CDH00ABI1219R,CDH00AR11219R,CDH00AUS1219R,CDI00AA11219R,CDI00ABI1219R,CDI00AR11219R,CDI00AUS1219R,CDL00AA11219R,CDL00ABI1219R,CDL00AR11219R,CDL00AUS1219R,CDM00AA11219R,CDM00ABI1219R,CDM00AR11219R,CDM00AUS1219R,CDR00AA11219R,CDR00ABI1219R,CDR00AR11219R,CDR00AUS1219R,CDS00AA11219R,CDS00ABI1219R,CDS00AR11219R,CDS00AUS1219R,CDW00AA11219R,CDW00ABI1219R,CDW00AR11219R,CDW00AUS1219R,CNC00AA11219R,CNC00ABI1219R,CNC00AR11219R,CNC00AUS1219R,CNM00AA11219R,CNM00ABI1219R,CNM00AR11219R,CNM00AUS1219R,CNS00AA11219R,CNS00ABI1219R,CNS00AR11219R,CNS00AUS1219R
'003903141,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'003903201,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'003904001,-1,-1,-1,-1,75,63,44,-1,.,.,.,40,.,.,.,.,61,51,47,64,40,-1,40,-1,51,48,41,57,77,61,59,70,71,50,25,44,-1,-1,-1,-1,-1,-1,-1,-1,49,44,41,58,35,24,20,48,24,10,7,14,60,51,51,71,59,51,48,64,66,53,47,66,-1,-1,-1,-1
'003904005,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,33,.,.,.,.,-1,-1,-1,20,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,33,.,-1,.,-1,-1,-1,-1,33,-1,.,.,-1,-1,-1,-1,40,.,.,.,.
'003904041,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'003904101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'003904102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'003905001,48,48,38,47,-1,20,17,40,.,.,.,.,.,.,.,.,50,58,44,77,45,43,33,73,48,55,41,73,52,59,59,71,52,55,43,77,.,.,.,.,23,13,14,50,46,56,32,82,46,44,30,68,16,23,9,75,48,77,61,85,53,58,44,81,35,54,48,66,-1,-1,-1,-1
'003905004,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,-1,.,.,-1,-1,.,.,-1,-1,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,-1,-1,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,-1,-1,.,.,.,.
'003905041,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,.,.,.,.,.,.,.,100,.,.,.,100,.,.,.,100,.,.,.,.,.,.,.,-1,.,.,.,100,.,.,.,-1,.,.,.,.,.,.,.,100,.,.,.,100,.,.,.,100,.,.,.,.,.,.,.
